id,date,type,text
289,4/23/2015,CACHE/FOUND,Explosives were seized during a detention & search of a house Suspets of the attacks against Admiralskaya Center in DEC 14 and MAR 15
290,4/22/2015,UNKNOWN,A car was blown up The owner was an officer of the Ukrainian Security Service
291,4/22/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against a shopping center
292,4/22/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against Cultural Center of Power Engineers
293,4/22/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Prosvity office in Rymarskaya Street & parking in Danilevskoge Street
294,4/22/2015,CACHE/FOUND,Explosives seized after a detention 3 suspects of attacks against railways were arrested 
295,4/21/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Darnitsa"" metro station"
296,4/21/2015,UNKNOWN,A car was blown up due to an IED 
297,4/21/2015,CACHE/FOUND,"Explosives found under bridge to Severodonetsk 49,6 Kg of TNT, 24 Kg of ammonite, electric detonators"
298,4/20/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro stations ""Arsenalyana"" & ""Nezalezhnosty"""
299,4/19/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro station ""Khreschatik"""
300,4/16/2015,CACHE/FOUND,Suspects detained while preparing IED attacks against railway Some explosives were seized
301,4/16/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro station ""Ploshcha LVA Tolstogo"""
302,4/16/2015,HOAX/FALSE,"Suspicious IED found, after investigation there was no explosive In Boulevard Sidorov. F-1 inert training hand grenade used as main charge."
303,4/15/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Teatralnaya"" metro station"
304,4/15/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Vokzalnaya"" train Station"
305,4/15/2015,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro station ""Akademika Barabashova"""
306,4/14/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Peresado?nyh metro station
307,4/13/2015,CACHE/FOUND,Explosives and weapons were found Close to a thermal power station
308,4/13/2015,UNKNOWN,One car was blown up causing fire damages over 2 cars more In Zalivnaya Street. One of the cars was owned by editor of TopGorod.com 
309,4/12/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive One  shopping centres in Obolonsky district & metro station ñArsenalnayaî 
310,4/11/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Vesty radio station editorial office
311,4/11/2015,UNKNOWN,IED was blown up against railway Railroad between Yuzhno Donbasskaya and Yelenovka
312,4/10/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Offices of gas companies (JSC Ukrtransgaz & Naftogaz)
313,4/9/2015,CACHE/FOUND,Explosives seized after the detention of 40 suspects 
314,4/9/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Underground station in Lev Tolstoy square
315,4/9/2015,HOAX/FALSE,Suspicious package inside a vehicle - no explosive found VW Passat parked in Rymarska Street
316,4/9/2015,UNKNOWN,"A car was blown up Kurchatova Street, another car was burn due as a result of  the explosion"
317,4/9/2015,CACHE/FOUND,"Some explosive were found by SBU during a search TNT blocks, fuzes, hand grenades and rocket launchers"
318,4/8/2015,UNKNOWN,A car was blown up due to an explosion in its trunk Car owned by a guard of the Border Service
319,4/8/2015,CACHE/FOUND,"IED components, instructions, precursors & explosives were seized After several detentions and searches against a group"
320,4/7/2015,CACHE/FOUND,IED components and explosives seized during detention & search Suspect of IED attacks in Kharkiv
321,4/7/2015,UNKNOWN,IED attack against a pole with the national flag in Pravdy Avenue The pole has been removed due to damages
322,4/6/2015,UNKNOWN,A railway was blown up Railroad between Zhikhor and Zmiev
323,4/6/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Targeting three underground stations and two schools
324,4/6/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Against station South
325,4/6/2015,UNKNOWN,IED was detonated against railway Km 55 of railroad Shchotove - Shterivka
326,4/6/2015,CACHE/FOUND,A man was detained when carrying explosives and ammo in a bag 5 plastic explosive packages were found plus hand grenades and fuzes
327,4/4/2015,UNKNOWN,A ïPrivatbankÍ ATM was blown up and robbed 
328,4/3/2015,UNKNOWN,A car was blown up by a device Three vehicles more were affected by the fire caused by the detonation
329,4/2/2015,CACHE/FOUND,Two IEDs were found & disosed in an office of ïSberbank of RussiaÍ  Pobeda Avenue & Lesya Ukrainka Broadway
330,4/2/2015,UNKNOWN,An IED detonated against offices of ïSberbank of RussiaÍ  Borshchagovskaya Street
331,4/1/2015,CACHE/FOUND,"3 suspects of IED attacks were detained: IED components found Precursors, HME, 600 gr TNT, timers, detonators, electronics & components"
332,3/31/2015,CACHE/FOUND,An IED was found under a road viaduct during a search Road between Novomoskovsk and Dnipropetrovsk. About 2.5 kg HME/TNT
333,3/31/2015,CACHE/FOUND,Police found and disposed an IED laid at railway 400 gr TNT with fuse between Samarovka and Novomoskovsk 
334,3/31/2015,UNKNOWN,An IED was detonated under a train at Osnova station 
335,3/29/2015,UNKNOWN,An IED was detonated against a railway fuel tank 
336,3/28/2015,UNKNOWN,IED attack against a volunteers centre Staportofrankivska Street with Olhivska Street
337,3/26/2015,UNKNOWN,An IED was blown up against a train transporting coal Railroad on the border of Pokrovsky and Mezhevsky Region
338,3/26/2015,UNKNOWN,IED attack near a building of the regional state administration  Planners/executors were detained on April 6th 2015
339,3/25/2015,UNKNOWN,An IED placed under a military truck truck detonated An Air Defense mobile radar station was damaged
340,3/23/2015,CACHE/FOUND,SBU discovered an IED during a detention & search operation Some weapons were discovered along with the device
341,3/23/2015,UNKNOWN,Railroad infrastructure was damaged by the explosion of a device Railway between  Demarino and Prosyana
342,3/22/2015,UNKNOWN,IED was detonated against  a residential house  In Geranevaya Street
343,3/22/2015,UNKNOWN,"IED attack against Padaigma 12 office, that supports injured soldiers This attack could be connected with another one happened on Jan 5th"
344,3/20/2015,UNKNOWN,A device was blown up against railroad 
345,3/20/2015,UNKNOWN,"Electricians were killed by the detonation of a device while repairing Although reported as ""a mine"" it looks like an IED (see previous event)"
346,3/20/2015,UNKNOWN,"Electricians were killed by the detonation of a device while repairing Although reported as ""a mine"" it looks like an IED (see next event)"
347,3/19/2015,UNKNOWN,A road bridge was blown up Road connecting the city with Luhansk. Partially destroyed on Jan 21st 
348,3/18/2015,CACHE/FOUND,4 IEDs  using mobile phones as switches were discovered The target were different points of the railroad
349,3/18/2015,UNKNOWN,"A train carrying coal was derailed due to the detonation of a device æClose to Check Point #29, UKR forces look behind the explosion"
350,3/17/2015,UNKNOWN,A railway bridge was blown up 
351,3/17/2015,UNKNOWN,IED was blown up against railway 
352,3/16/2015,CACHE/FOUND,3.5 Kg of TNT were found during the search of a house 
353,3/16/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Lviv airport
354,3/15/2015,CACHE/FOUND,Explosive and detonators were found in a cache 6 Kg of  TNT and some detonators
355,3/13/2015,CACHE/FOUND,"During a control in a check point, explosive was found "
356,3/13/2015,CACHE/FOUND,IED (3Kg TNT equivalent) found during detention of 2 suspects Accused of the attack to Admiralteisky business centre on March 12th
357,3/13/2015,CACHE/FOUND,"Police discovered explosives ready to be used against a dam 4,8 Kg TNT & detonators"
358,3/12/2015,CACHE/FOUND,Plastic explosive was found during the search of a taxi 
359,3/12/2015,CACHE/FOUND,"An IED was found and disposed by emergency services (SSU) IED using a fire extinguisher as container, mil explosive & safety switch"
360,3/12/2015,CACHE/FOUND,Explosives seized during taxi search in a check-point A women was wearing a 5 litre bottle with plastic explosive + RC device
361,3/12/2015,VBIED,A car bomb was blown up 
362,3/12/2015,UNKNOWN,IED detonated against an office of Samopomich party It happened in Admiralteisky bussines center
363,3/10/2015,UNKNOWN,"A railway bridge used for carrying coal was blown up Km. 51 Rodakovo-Krasny L, between Sentanovka & Shipilovo station"
364,3/10/2015,UNKNOWN,An IED blew up against railroad Lisichansk-Kharkov railway
365,3/10/2015,CACHE/FOUND,A suitcase containing an IED was found by a civilian 
366,3/9/2015,UNKNOWN,A railway bridge was blown up 
367,3/7/2015,CACHE/FOUND,"Explosives seized during car search in a check-point 2 Kg plastic expl + 1,2 Kq TNT. Road between Zaporizhia & Mariupol"
368,3/7/2015,UNKNOWN,Several roadside IEDs against a Brigade Commanders convoy Chief of Prizrak Brigade. Attack claimed by Tini Partisan Detachment
369,3/7/2015,UNKNOWN,A minibus blew up Poznanskaya Street
370,3/7/2015,UNKNOWN,A car was blown up near a government building Kharkiv State Administration for Culture in Gvardeytsev Shironintsev Street
371,3/6/2015,CACHE/FOUND,A courier was detained when transporting an IED in a car 3 Kg of plastic explosive. Planned target was located in Kherson.
372,3/6/2015,CACHE/FOUND,A package containing an IED was found & disposed by Police EOD About 1 Kg TNT in front of a shopping center
373,3/6/2015,UNKNOWN,A device against the car of a Volunteer Battalion Commander Against Andrey Yangolenko. Another magnetically-attached IED failed
374,3/5/2015,UNKNOWN,A device was blown up near a Right Sector office Koblevskaya Street
375,3/2/2015,CACHE/FOUND,"Two volunteer Battalion servicemen detained carrying explosives Driving a car:16,8 Kg pf TNT + 36 detonators along with weaponry"
376,2/23/2015,CACHE/FOUND,"A bag with explosive devices was found in the car of 2 suspects One was killed, other escaped. 3 Policemen injured. (Cutting charges)"
377,2/23/2015,UNKNOWN,An IED detonated in the 4th floor of a building 
378,2/22/2015,CACHE/FOUND,An IED (200 gr TNT equivalent in plastic bag) was found and disposed In front of a cafeteria in Zhukovskoho Street
379,2/22/2015,RCIED,An IED was blown up against a pro-Maidan march near Sports Palace Marshal Zhukova Street (about 200 gr TNT plus steel bearings)
380,2/17/2015,UNKNOWN,Two IEDs were detonated against an office of an Euromaidan leader Yevgeny Rezvushkins office in Bolshaya Arnautskaya Street
381,2/15/2015,UNKNOWN,An IED was detonated against a power substation The station provided power to railways
382,2/14/2015,UNKNOWN,A device was blown up 100 m away from DPR leader residence Against Aleksandr Zaharchenko before a press conference
383,2/13/2015,CACHE/FOUND,An IED was seized during the detention of a  suspect of an IED attack  It was a honey can filled with explosive. The previous attack was on Jan 16th
384,2/13/2015,CACHE/FOUND,"During search operation, some IEDs and homemade explosive found 15 IEDs, and a 50 l barrel filled with homemade explosive"
385,2/10/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Railway station in Ruslan Bashirli Street
386,2/10/2015,UNKNOWN,"An IED was laid and detonated at the door of a hostel ""More Hostel Odessa"", sited at 3rd floor of the building in Koroblevska Street"
387,2/10/2015,UNKNOWN,A Battalion Commander died as a result of a roadside IED attack Lviv regional police commander Dmytro Zaharia
388,2/8/2015,UNKNOWN,A device was detonated against the office of a notary company Minor damages. Otakar Yarosh Street
389,2/7/2015,CACHE/FOUND,A man was detained when transporting an IED 
390,2/8/2015,CACHE/FOUND,A man was detained when laying an IED against rairoad tracks 400 gr TNT were seized during the search of his house
391,2/6/2015,CACHE/FOUND,A man was detained while trying to sell explosives 2 Kg of TNT
392,2/6/2015,CACHE/FOUND,Plastic explosive was found during search in a suspects house 30 gr of hexogen-based explosive. Detained related to 31Dec14 event
393,2/6/2015,CACHE/FOUND,"An explosive device was discovered near the rail tracks 7 blocks of TNT (2.8 Kg), detonator, and RC switch were found"
394,2/6/2015,UNKNOWN,An IED detonated under a gas pipe near a Priviatbank office Marshala Zhukova Street. Severe damages in the building.
395,2/6/2015,CACHE/FOUND,"An IED was discovered and disposed near a Priviatbank office Dnepropetrovska Doroga Street. Metal can, battery & circuit board"
396,2/5/2015,CACHE/FOUND,Some IEDs and weapons were seized 
397,2/5/2015,PROJECTED,A homemade grenade was thrown against a man 
398,2/4/2015,UNKNOWN,An IED laid by 2 man near a vehicle detonated in a car park The device was hidden inside an old car tyre
399,2/3/2015,HOAX/FALSE,Suspected IED - First Responders action - no explosive 3 schools near Karachuny railway station. Suspect was detained
400,1/30/2015,CACHE/FOUND,An IED was discovered in the archive room of an official building Mayors office inside Kiev State City Administration
401,1/25/2015,UNKNOWN,A device was blown up Near Kharkiv-Balashovsky railway station
402,1/23/2015,CACHE/FOUND,An IED was found along with 600 gr of TNT under a walking bridge 
403,1/20/2015,UNKNOWN,A railway bridge was blown up A train transporting military equipment was derailed 
404,1/19/2015,UNKNOWN,"A road bridge was blown up Putilovsky bridge, in the way to Volnovakha"
405,1/19/2015,UNKNOWN,A device was detonated against the district court After a trial on a case against a Svodoba party member
406,1/18/2015,PROJECTED,Homemade grenade was thrown by a man against police patrol Prazhskaya Street. Man called Police station asking for help
407,1/17/2015,UNKNOWN,A device was detonated in Arkhitektora Nikolayeva Street The nearest building first floor and about 10 cars were affected by
408,1/17/2015,CACHE/FOUND,Some explosives were seized in a check point 2 Kg TNT and some fuses
409,1/17/2015,UNKNOWN,A device was detonated against a volunteer centre and a bank office Troitskaya Street with Nechypurenka Street
410,1/16/2015,RCIED,A device was detonated against a check-point IED was allocated inside a jar of honey given as a present
411,1/16/2015,UNKNOWN,Detonation of a device Arkhitektora Nikolayeva Street.
412,1/16/2015,UNKNOWN,Detonation of a device close to a Diamantbank office Troitskaya Street
413,1/16/2015,UNKNOWN,A road bridge over railway was damaged by a controlled detonation 
414,1/13/2015,RCIED,A device was detonated at the pass of a military vehicle 
415,1/12/2015,CACHE/FOUND,SBU seized some weaponry along with an IED and several detonators 
416,1/11/2015,TIME DELAY,"One device explode & two more were disposed in New Post office Two-litre bottle with unknown substance, wires and a timer"
417,1/5/2015,UNKNOWN,A device was detonated against a volunteer centre Gimnazicheskaya Street with Bolshaya Arnautskaya Street
418,1/4/2015,UNKNOWN,A device was detonated against Euro-Maydan coordination office 
419,1/4/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive River port
420,1/3/2015,UNKNOWN,A device was detonated in a tank car inside a railway station Peresyp station
421,1/1/2015,UNKNOWN,A drunk man was injured due to a device he was carrying Inside a store
422,12/31/2014,UNKNOWN,An IED was detonated in front of a flat door Azure Street. A suspect was detained.
423,12/30/2014,HOAX/FALSE,Suspected IED - First Responders action - no explosive Simferopol airport
424,12/30/2014,CACHE/FOUND,"IED components, explosive precursors and manuals were seized In the flat of a man accused of throwing grenades"
425,12/29/2014,UNKNOWN,"A device detonated during an antiterrorism operation Near the city park, hidden inside a garbage bin"
426,12/29/2014,PROJECTED,A device was detonated in the yard affecting 2 vehicles Central Department of the Ministry of Revenue and Duties
427,12/29/2014,UNKNOWN,A device was detonated near a gas station Troeshchina district
428,12/27/2014,UNKNOWN,A man died due to the detonation of a device he was carrying Sedegskaya Street
429,12/27/2014,S-PBIED,A man blown himself and a second IED was disposed Inside currency exchange offices after asking for money
430,12/26/2014,CACHE/FOUND,Some explosive fuzes were found near a water pump station Some other munition was found too during the search
431,12/25/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Inside electrical train Odessa-Balta
432,12/25/2014,UNKNOWN,A military vehicle was affected by a roadside device 
433,12/25/2014,UNKNOWN,A device was detonated Close to a store Azhur in Rymarskaya Street
434,12/25/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Malinovsky District Court
435,12/24/2014,CACHE/FOUND,"Some (24) IEDs, explosive & detonators found after detention Three detainees "
436,12/24/2014,UNKNOWN,Detonation of a device inside a hostel Sapernoye Pole Street.
437,12/23/2014,UNKNOWN,A device detonated in railway after the pass of a freight train Zastava-1 station
438,12/23/2014,UNKNOWN,A railway bridge across the river Kalchik was blown up Km 1260
439,12/23/2014,UNKNOWN,A device was detonated against a check -point 
440,12/23/2014,UNKNOWN,"A bag with device was laid under a car and caused a detonation Zhukovskogo Street, near office of the Council for Public Safety"
441,12/23/2014,CACHE/FOUND,Some quantities of TNT were seized inside a vehicle More ammunition was found inside the garage
442,12/22/2014,UNKNOWN,A car was destroyed by the detonation of a device It is not clear if the device was emplaced or transported in a car
443,12/19/2014,CACHE/FOUND,Detention of a woman wearing a bag with RCIED (3 Kg TNT equivalent) Device included an anti-tamper switch and fragmentation
444,12/17/2014,PROJECTED,A homemade grenade thrown against Apostolovo City Council 
445,12/10/2014,UNKNOWN,An 2 Kg TNT equivalent IED contained inside a bag blown up A woman was seen laying the bag
446,12/9/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Canadian embassy
447,12/9/2014,UNKNOWN,"A device was detonated against a volunteer centre in Admiralsky St 1 Kg TNT equivalent against ""Dalias Hundred Severin"" facilities"
448,12/9/2014,UNKNOWN,IED detonated against a memorial to Ukrainian insurgent Army 
449,12/6/2014,UNKNOWN,"A ralway bridge was damaged by a detonation Krasnoarmiysk-Hrodivka, 6 beam spans & network were damaged"
450,12/5/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Zmievskaya heating power station
451,12/2/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central railway station
452,12/2/2014,UNKNOWN,"A device was detonated against a patriotic souvenir shop ""Patriot"" shop"
453,12/2/2014,UNKNOWN,A device was detonated close to the gate of a military base Proskura Street
454,12/2/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive South Region military prosecutorÍs office,  Pirogovskaya Street"
455,11/28/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Kyivgorstroy building, 2 supermarkets, one shopping centre"
456,11/27/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive School, ""Klovskaya"" metro station, Post office, CAN Embassy"
457,11/26/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Yuzny railway station, ATB supermarket"
458,11/25/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive State Regional Administration building
459,11/24/2014,UNKNOWN,Device detonated beside a military facility Outer fence was damaged in Victory Street
460,11/24/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive City Council
461,11/21/2014,UNKNOWN,Device detonated in a railway station Osnova railway station
462,11/21/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive City Council
463,11/20/2014,UNKNOWN,Device detonated near Military Hospital Beside an electric substation transformer in Trinkler Street 
464,11/20/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central Office Ukrainian Service
465,11/18/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive UZD railway station, Regional Energy Corporation building"
466,11/17/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Ave Plaza shopping mall
467,11/17/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Darnitsa metro station, Teatralnaya metro station"
468,11/17/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Ukrainian-Polish Bussines Center
469,11/16/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Krasnoarmeyskaya railway station
470,11/14/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Zolotye Vorota metro station
471,11/12/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Darnitsa metro station, railway ticketing, entertainment center"
472,11/12/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Rovno railway station, Ivano-Frankovsk railway station"
473,11/12/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Zavod Imeny Malysheva metro station
474,11/11/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Central Elections Commission, McDonalds & residential area"
475,11/10/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive One man was detained after his call reporting several IEDs
476,11/9/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central train station
477,11/9/2014,UNKNOWN,"Detonation damaged a cargo truck in a railway station Eskhar station, in the way from Osnova station to Kupiansk"
478,11/9/2014,TIME DELAY,"Attack against a pub A package was laid inside ""Stina"" pub before detonating"
479,11/5/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Maidan Nezalezhnosty"" and ""Kreshchatik"" metro stations"
480,11/4/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive State Fiscal Service Central Department
481,11/3/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Teatralnaya station & 2 Regional Administration buildings
482,11/2/2014,RCIED,A car detonated during check in a road control Explosion when driver was opening the trunk (RCIED reported)
483,10/27/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Regional administration building
484,10/25/2014,CACHE/FOUND,IED seized during a search in the house of a suspect 
485,10/24/2014,CACHE/FOUND,IEDs seized during the detention of 11 suspects of terrorism 
486,10/23/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Administration building & supermarket
487,10/22/2014,CACHE/FOUND,Explosives seized during a train wagon search A man was detained
488,10/22/2014,CACHE/FOUND,IED seized in a detention 
489,10/19/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central train station
490,10/17/2014,UNKNOWN,Detonation against railroad Basis - Poltava railway
491,10/17/2014,PROJECTED,Homemade grenade against a member of PeopleÇs Front Party 
492,10/16/2014,UNKNOWN,IED detonation damaged a military transport vehicle 
493,10/14/2014,UNKNOWN,"IED detonation affecting a platoon Reported as ""Daisy Chain"""
494,10/13/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro station ñMalyshev Factoryî, (2014Çs 12th false IED report)"
495,10/13/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro stations ñVokzalnayaî & ""Universitet"""
496,10/8/2014,UNKNOWN,Railway was damaged by a detonation Sentyanivka station from Luhansk to Kiev
497,9/29/2014,UNKNOWN,Railway was damaged by a detonation Odessa-Peresip station
498,9/26/2014,UNKNOWN,IED detonations in 2 buildings Lawyer office & PrivatBank office in supermarket Brusnichka
499,9/26/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro Stations ñUniversitetî and ñSyretzî
500,9/22/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Regional State Administration building
501,9/22/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Regional State Administration building
502,9/22/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro station ñUniversitetî & Central Post Office
503,9/21/2014,CACHE/FOUND,15 Kg TNT seized in a road control 
504,9/20/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Ukrinform News, Ukrayina hotel & Khreshchatyk street"
505,9/20/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Lviv airport
506,9/20/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Military enlistement office & Police station.
507,9/19/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ñChannel 5î, Central Election Commission& State Administration"
508,9/19/2014,CACHE/FOUND,A man was detained while transporting explosives in a car There is a group behind. Explosives (TNT) & detonators found
509,9/17/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive National Guard facility, Stryiskyi Park & Lviv Railway Station"
510,9/16/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Regional State Administration
511,9/15/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive Central metro station
512,9/13/2014,CACHE/FOUND,"Explosives, precursors and detonators seized during detention A group was detained"
513,9/13/2014,CACHE/FOUND,3 detainees when trying to blow a railway bridge up Plastic explosive & detonators were seized
514,9/13/2014,UNKNOWN,Road bridge was blown up Pavlopolsky bridge
515,9/12/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive Metro station ñLev Tolstoy Squareî & ñChannel 5î building
516,9/11/2014,HOAX/FALSE,"Calls reporting IED - First Responders action - no explosive Metro station ñLev Tolstoy Squareî, Central Election Commission"
517,9/10/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive TsVK building
518,9/10/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive metro stations Darnitsya and Nivki
519,9/8/2014,UNKNOWN,Device was found attached to a billboard TIME DELAY switch?
520,9/7/2014,UNKNOWN,"IED attack against railways, damaging steel power supports Osnova station: 2 IEDs detonated & 2 other were disposed"
521,9/7/2014,UNKNOWN,Detonation inside a jewelry 
522,9/5/2014,HOAX/FALSE,"Calls reporting IED - First Responders action - no explosive Custom posts ""Yagodin"" & ""Ustiluk"""
523,9/5/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive Metro stations ñVokzalnayaî
524,9/3/2014,UNKNOWN,"IED attack against railways, damaging steel power supports "
525,9/2/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Levoberezhnaya metro station
526,9/1/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro station ñVokzalnayaî
527,9/1/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Odessa University
528,8/30/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive ""Yalta Intourist"" hotel, before a conference"
529,8/28/2014,UNKNOWN,Railway was damaged by a detonation 
530,8/28/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Teatralna metro station 
531,8/27/2014,UNKNOWN,IED detonation against Police station 
532,8/23/2014,UNKNOWN,IED attack against railroad 
533,8/22/2014,CACHE/FOUND,Explosive device seized during house registry Detainee was planning an attack against a Lutheran church
534,8/22/2014,CACHE/FOUND,IEDs seized in an apartment search. 5 guys were detained. They prepared attacks against railway.
535,8/17/2014,CACHE/FOUND,Explosives were seized. 6 guy group arrested. Suspects of explosion (August 3) in Kharkiv Tank Repair Plant
536,8/15/2014,UNKNOWN,IED attack against a bank office Kolomoisky PrivatBank office
537,8/14/2014,HOAX/FALSE,"Call reporting IED - First Responders action - no explosive Metro stations ñVokzalnaî, ""Poshtova Ploshcha"""
538,8/13/2014,CACHE/FOUND,"A civilian transporting an IED was detained near military base 200 gr TNT block, safety fuze and detonator"
539,8/12/2014,CACHE/FOUND,Civilian car loading explosives and weapons was seized 29 Kg of TNT
540,8/9/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro station ñArsenalnayaî 
541,8/8/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Channel ñ112 Ukraineî building
542,8/8/2014,UNKNOWN,Device was detonated against a Russian bank office 
543,8/8/2014,CACHE/FOUND,An RCIED was found along with landmines and missiles Discovered by border guards
544,8/8/2014,PROJECTED,Homemade grenade was thrown against people Ukrainian House director was the aimed target
545,8/7/2014,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Metro station Petrovka
546,8/7/2014,CACHE/FOUND,Homemade grenades were seized 
547,8/6/2014,UNKNOWN,Detonation against a railway bridge across the river. Pedestrian part partially damaged. One attacker was dead.
548,8/6/2014,UNKNOWN,Pedestrian bridge was blown up Bridge between both districts of the village
549,8/4/2014,HOAX/FALSE,Calls reporting IED - First Responders action - no explosive Two railway stations
550,8/4/2014,UNKNOWN,Explosive device detonated against a DNR militia patrol 
551,8/3/2014,UNKNOWN,Sabotage in a Tank Repair Plant IED was reported
552,8/3/2014,CACHE/FOUND,"A van loaded with explosives was stopped in a check-point Reported as an attempt of ""suicide attack"" by UKR military"
553,8/1/2014,UNKNOWN,Explosive device was blown up inside a bus 
554,7/30/2014,UNKNOWN,Partial detonation of an IED slightly damaged a bridge Failed attempt of blowing bridge up over Seversky Donets River
555,7/26/2014,HOAX/FALSE,"Calls reporting IED - First Responders action - no explosive Central train station, 7 hotels, 1 restaurant and 1 hostel "
556,7/29/2014,VOIED,A device blew up killing 1 woman & injuring 8 children 
557,7/25/2014,HOAX/FALSE,"Calls reporting IED - First Responders action - no explosive 6 alarms in Golosievskyi, Podolsky and Pechersky districts"
558,7/24/2014,UNKNOWN,Bridge was blown up Bridge near the Cotton Factory between Kalinin and Nikitovsky
559,7/24/2014,UNKNOWN,6 IEDs discovered in schools 
560,7/23/2014,UNKNOWN,2 bridges & 2 railways points were blown up 
561,7/23/2014,UNKNOWN,Gas tanks were blown up Gas station ñParallelî
562,7/23/2014,UNKNOWN,Bridge was blown up Bridge between main city & Perevalska
563,7/23/2014,UNKNOWN,Detonation against a hospital Tyumen cardiology center. 2 detainees
564,7/21/2014,VBIED,"A minibus was blown up against a check-point Incident is reported as ""suicide attack"" by Ukrainian officials"
